Gender_Male,Married_Yes,Dependents,Education_Grad,Applicant_Income,Credit_Score_Good,Loan_Status_Approved
1,0,0,1,3672,0,0
1,0,0,1,1919,0,0
0,1,0,1,1741,0,0
1,1,0,1,2920,1,1
1,1,2,1,7617,1,1
1,0,2,1,4604,0,1
0,1,3,0,2216,0,1
0,0,3,0,5526,0,1
0,0,1,1,305,0,1
0,0,2,1,7472,0,0
0,1,3,1,741,1,1
0,1,2,1,2230,0,0
0,0,0,0,1217,0,1
0,0,0,1,1058,0,0
0,1,0,1,7545,1,1
1,0,3,1,2050,0,1
0,1,1,1,3933,1,1
1,0,0,1,2871,0,0
1,1,1,0,4366,0,1
1,0,1,1,3169,0,0
0,1,0,1,1068,0,0
0,0,0,1,6614,1,1
0,1,1,0,2008,0,0
0,1,0,0,858,0,0
1,0,2,1,2116,0,0
0,0,0,1,9903,1,1
0,1,2,1,5885,1,1
0,0,1,1,2255,0,0
0,1,1,0,2254,0,0
0,0,2,1,2304,0,1
1,1,0,1,15699,1,1
0,1,0,1,4046,1,1
1,1,0,1,4205,1,1
0,1,2,1,6796,1,1
1,1,1,0,3608,0,0
0,1,1,1,2423,1,1
0,0,0,1,2547,0,1
1,0,0,1,2815,0,1
1,0,0,1,2893,0,1
1,1,0,1,5335,1,1
0,1,1,1,3107,0,0
1,1,0,0,5356,1,1
0,1,0,1,2794,0,0
0,0,3,1,3174,0,0
1,0,0,1,602,0,0
1,1,0,1,6204,1,1
0,0,2,0,3933,0,0
0,0,0,0,6623,0,0
1,1,1,1,293,0,0
1,0,2,1,15846,0,1
1,1,3,1,2665,1,1
0,0,0,1,7233,0,0
0,1,3,1,1297,1,0
0,1,0,1,4866,0,0
0,1,0,1,1283,0,0
0,1,0,1,1809,0,1
0,0,3,0,13783,0,0
1,1,0,1,2559,0,0
0,1,0,1,3547,0,1
0,1,1,0,5979,1,0
0,0,0,1,4431,0,0
1,1,0,1,3362,1,1
0,0,0,1,3991,0,0
0,1,0,1,20388,1,1
1,0,0,0,2846,0,0
0,0,0,0,3501,0,0
0,1,1,1,6908,1,1
0,0,0,1,7218,1,1
0,1,0,1,7704,1,1
0,1,2,1,4969,1,0
1,1,0,1,1194,1,1
1,0,1,0,11012,0,1
1,0,0,1,1191,0,0
0,1,0,0,3797,0,0
0,1,0,1,1630,0,1
0,0,0,1,2831,0,0
1,1,0,1,3877,0,0
0,1,0,0,3854,0,1
0,1,0,0,4177,0,0
1,0,0,0,10839,0,1
0,0,0,1,4284,0,1
1,0,0,1,2452,0,1
1,1,0,0,6446,0,0
1,1,0,1,7720,1,1
0,1,1,1,1116,1,1
0,0,0,1,4807,0,0
0,1,2,0,5223,1,1
0,1,1,0,2349,0,1
0,1,0,1,8960,1,0
0,1,2,0,2643,0,0
0,0,3,0,3295,0,0
1,0,0,1,2595,0,0
0,1,0,1,3018,1,1
1,0,2,0,1240,0,0
0,0,1,1,941,0,0
0,1,0,1,10674,1,1
0,1,0,1,1513,1,1
1,0,0,0,1348,0,0
1,1,0,0,532,0,0
1,0,1,0,1787,0,1
1,1,0,1,1034,0,1
0,0,0,0,11087,0,0
1,1,1,0,6686,0,0
0,0,0,1,1718,0,0
0,0,0,0,18068,0,0
1,0,1,1,6538,0,1
1,1,2,1,2298,1,1
1,0,0,1,403,0,1
1,0,0,1,18634,1,0
1,1,0,1,980,1,1
1,1,0,1,799,0,0
1,0,0,1,6755,0,0
1,0,0,0,20990,0,1
0,1,0,1,9021,1,1
1,1,0,1,4680,0,0
1,1,0,1,4797,1,1
0,1,0,0,5900,0,0
1,1,0,1,5470,1,1
0,0,0,1,3732,0,0
0,1,0,0,3240,0,1
1,0,2,1,2835,0,1
0,0,1,1,1630,0,0
0,0,1,1,2381,0,0
0,1,2,0,769,0,1
0,0,0,1,2755,0,1
1,0,0,0,1351,0,1
0,1,0,1,1232,0,1
1,0,1,0,3442,0,0
0,0,1,0,9077,0,0
0,1,0,0,6214,0,0
0,0,0,1,848,0,0
0,0,0,0,1350,0,0
1,0,0,1,6327,1,0
1,1,1,1,1358,1,1
0,1,1,1,2490,1,0
0,1,0,0,4628,0,0
1,0,3,0,1373,0,1
0,0,1,0,3243,0,0
0,1,0,1,1025,0,1
0,0,0,1,1842,0,0
1,0,0,0,3849,0,1
1,1,0,1,833,0,1
1,1,0,1,4240,0,0
0,0,0,1,2934,0,1
0,0,0,1,4637,0,0
1,0,0,1,3565,0,1
1,1,2,1,8877,1,1
1,1,0,1,3295,1,1
1,1,0,1,2114,1,1
0,1,0,0,3287,0,1
1,0,3,1,4603,0,1
0,1,0,1,3099,1,1
1,1,0,1,3079,1,1
0,1,3,1,1700,1,1
1,1,2,0,1754,0,0
1,1,2,0,970,0,0
1,0,0,1,12084,1,1
1,0,0,1,1102,0,0
0,1,1,0,1712,0,0
1,0,3,0,1677,0,1
0,1,1,1,6099,1,0
0,1,1,1,2354,1,1
0,0,0,1,8088,0,0
0,0,2,0,1739,0,1
1,1,0,1,3726,1,1
0,1,0,0,1528,0,0
0,1,0,1,16582,1,1
0,0,0,1,1152,0,0
1,1,0,1,3819,0,1
1,1,0,1,4949,0,0
1,1,1,1,4150,1,1
1,0,0,1,2570,0,0
0,1,1,1,2686,0,1
0,1,0,0,3087,0,0
1,0,0,1,2650,0,0
0,1,0,1,6445,1,1
0,1,0,0,17473,1,0
0,0,0,0,1908,0,1
1,1,0,0,996,0,0
1,0,0,0,2777,0,0
0,0,3,1,23476,1,1
1,1,0,1,1567,1,1
1,1,2,0,11062,1,0
1,1,0,1,11409,1,1
1,1,1,1,1914,0,1
1,0,2,0,4699,0,0
0,1,1,1,10967,1,1
1,0,0,1,2201,0,0
0,1,0,1,2532,1,1
0,1,0,1,1871,1,1
1,1,3,1,1323,1,1
0,0,2,1,1773,0,1
0,1,3,0,1119,0,1
0,1,0,1,3063,1,1
1,1,1,1,1610,1,1
1,1,3,0,3594,0,1
0,0,0,0,858,0,0
1,1,0,0,3884,0,1
1,0,1,0,5807,0,1
1,0,1,1,604,0,0
1,0,2,1,4020,0,1
0,0,0,1,7959,0,0
0,0,2,1,1132,0,0
1,0,0,1,11362,0,0
1,1,0,1,4168,1,1
0,0,0,0,1695,0,0
0,0,2,1,2850,0,1
1,0,1,1,4659,0,1
0,1,0,1,3167,0,1
1,1,0,1,4587,1,1
1,0,2,1,1427,0,1
0,1,0,0,3413,0,0
0,0,2,1,962,0,0
1,0,0,1,2727,0,0
1,1,0,1,1446,0,0
0,0,0,0,1655,0,1
1,1,0,1,8013,1,1
0,1,1,1,7137,1,1
1,0,0,1,4852,0,1
0,0,0,1,1244,0,1
0,1,2,0,2314,0,0
0,0,0,0,7867,0,0
1,0,0,1,3338,0,0
1,0,3,0,19062,0,0
0,1,1,0,4083,0,0
1,1,0,0,3476,0,0
0,0,3,0,2327,0,0
0,1,1,1,3317,0,1
1,1,0,1,2638,0,1
1,1,0,1,5252,1,1
0,1,2,0,6408,0,0
1,1,1,1,1589,0,0
1,0,0,0,1027,0,0
0,0,2,0,686,0,0
0,0,2,1,4475,0,0
1,1,0,0,1233,0,0
0,1,0,1,532,1,1
0,0,0,1,4067,0,1
1,1,1,0,21903,1,1
0,0,0,1,2966,0,1
0,0,1,0,5830,0,0
1,0,2,0,3182,0,0
1,1,2,1,2754,1,1
0,1,0,1,6218,1,0
0,0,2,1,2363,0,0
1,0,0,1,3691,0,0
1,0,2,0,3855,0,0
1,0,0,1,1746,0,0
1,1,0,1,6592,1,1
0,1,2,1,2591,0,1
1,0,0,1,1628,0,1
1,0,0,0,4578,0,0
0,1,1,1,1452,0,1
1,1,1,0,3048,0,1
0,0,1,1,2959,0,1
1,0,1,0,7106,0,0
1,0,0,1,4357,0,1
1,1,0,1,2921,0,0
0,1,0,0,5734,1,1
0,1,0,1,9064,1,1
1,0,3,0,4657,0,1
0,0,1,1,3005,0,1
0,1,0,1,1043,0,0
0,1,0,1,1271,1,1
0,0,3,0,2335,0,1
0,1,0,1,1830,1,1
0,1,1,1,2566,1,1
1,0,0,1,3119,0,1
1,1,1,1,4553,1,1
0,0,0,1,2817,0,0
1,0,2,0,4399,0,0
1,0,3,0,3138,0,0
1,0,1,0,613,0,1
1,0,1,0,1406,0,0
0,0,3,1,2656,0,1
